partition_kind,q,depth,exponent,layer_dependent,cell_index,bits,x_lo,x_hi,x_mid,plog_mid,c_shared,c_free,displacement,shared_err,free_err,wall_excess,best_donor_index,best_donor_excess,value_add
geometric_x,3,6,1/2,True,29,"(0, 1, 1, 1, 0, 1)",1.3690024229745905,1.383909881963832,1.3764561524692114,0.37645615246921127,-0.085205078125,-0.10705184936523438,0.021846771240234375,0.01916370882179294,0.0007523817892384382,0.018411327032554502,55,3.7527833672566834e-05,-0.018373799198881935
geometric_x,3,6,1/2,True,30,"(0, 1, 1, 1, 1, 0)",1.383909881963832,1.3989796725383112,1.3914447772510716,0.3914447772510716,-0.08544921875,-0.1087636947631836,0.023314476013183594,0.020447343721351513,0.0007008773412373214,0.01974646638011419,54,9.896439233737862e-05,-0.019647501987776813
geometric_x,3,6,1/2,True,31,"(0, 1, 1, 1, 1, 1)",1.3989796725383112,1.4142135623730951,1.4065966174557032,0.4065966174557031,-0.08544921875,-0.11034488677978516,0.024895668029785156,0.021838262465232617,0.0006481691263512948,0.021190093338881322,53,0.00014572042001021336,-0.02104437291887111
geometric_x,3,6,1/2,True,32,"(1, 0, 0, 0, 0, 0)",1.4142135623730951,1.42961333839197,1.4219134503825326,0.42191345038253253,-0.091552734375,-0.11179351806640625,0.02024078369140625,0.01794025615681367,0.0005947111737074359,0.017345544983106236,52,0.0001784286149700662,-0.01716711636813617
geometric_x,3,6,1/2,True,33,"(1, 0, 0, 0, 0, 1)",1.42961333839197,1.4451808069770467,1.4373970726845082,0.43739707268450834,-0.09375,-0.11310958862304688,0.019359588623046875,0.01722548278271643,0.0005405181426542146,0.016684964640062215,51,0.00019902039076942837,-0.016485944249292787
geometric_x,3,6,1/2,True,34,"(1, 0, 0, 0, 1, 0)",1.4451808069770467,1.460917794180647,1.4530493005788467,0.4530493005788468,-0.09130859375,-0.11429214477539062,0.022983551025390625,0.02038010646543302,0.00048572226137030914,0.019894384204062712,50,0.0002068821584075973,-0.019687502045655114
geometric_x,3,6,1/2,True,35,"(1, 0, 0, 0, 1, 1)",1.460917794180647,1.4768261459394993,1.4688719700600732,0.46887197006007314,-0.0908203125,-0.1153411865234375,0.0245208740234375,0.021760220786636114,0.0004297076601357427,0.02133051312650037,49,0.00020464603690240155,-0.02112586708959797
geometric_x,3,6,1/2,True,36,"(1, 0, 0, 1, 0, 0)",1.4768261459394993,1.4929077282912648,1.484866937115382,0.4848669371153821,-0.092529296875,-0.1162557601928711,0.023726463317871094,0.021129199061207842,0.0003727084194656886,0.020756490641742155,48,0.00019415024199765692,-0.020562340399744496
geometric_x,3,6,1/2,True,37,"(1, 0, 0, 1, 0, 1)",1.4929077282912648,1.5091644275934228,1.5010360779423437,0.5010360779423438,-0.092529296875,-0.1170358657836914,0.024506568908691406,0.021864397758092666,0.0003148438235304383,0.02154955393456223,47,0.00017488217569222732,-0.021374671758870003
geometric_x,3,6,1/2,True,38,"(1, 0, 0, 1, 1, 0)",1.5091644275934228,1.5255981507445384,1.5173812891689806,0.5173812891689805,-0.094482421875,-0.11767864227294922,0.02319622039794922,0.02077278036303183,0.00025581772963888483,0.020516962633392945,46,0.00014843891817889119,-0.020368523715214054
geometric_x,3,6,1/2,True,39,"(1, 0, 0, 1, 1, 1)",1.5255981507445384,1.5422108254079407,1.5339044880762396,0.5339044880762396,-0.0966796875,-0.11818599700927734,0.021506309509277344,0.019331017149667368,0.00019621238186092108,0.019134804767806445,45,0.00011642918676401089,-0.019018375581042433
geometric_x,3,6,1/2,True,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,1.550607612822889,0.550607612822889,-0.094970703125,-0.11855506896972656,0.023584365844726562,0.021220105262224984,0.00013510683656307634,0.02108499842566191,44,8.03150838370982e-05,-0.02100468334182481
geometric_x,3,6,1/2,True,41,"(1, 0, 1, 0, 0, 1)",1.559004400237837,1.5759808451078865,1.5674926226728618,0.5674926226728617,-0.094482421875,-0.11878681182861328,0.02430438995361328,0.02191493285384739,7.36479580442729e-05,0.021841284895803118,43,4.123233352437373e-05,-0.021800052562278745
geometric_x,3,6,1/2,True,42,"(1, 0, 1, 0, 1, 0)",1.5759808451078865,1.593142151342267,1.5845614982250766,0.5845614982250766,-0.0947265625,-0.11888313293457031,0.024156570434570312,0.021834926847937818,1.4223638838680165e-05,0.021820703209099138,43,4.5608032914282676e-05,-0.021775095176184856
geometric_x,3,6,1/2,True,43,"(1, 0, 1, 0, 1, 1)",1.593142151342267,1.6104903319492543,1.6018162416457606,0.6018162416457606,-0.0947265625,-0.11883258819580078,0.02410602569580078,0.0218576176667072,5.3644344889096445e-05,0.021803973321818104,41,4.0903703216965756e-05,-0.02176306961860114
geometric_x,3,6,1/2,True,44,"(1, 0, 1, 1, 0, 0)",1.6104903319492543,1.6280274218573478,1.619258876903301,0.6192588769033011,-0.0947265625,-0.11864471435546875,0.02391815185546875,0.02184739688083093,0.00011833654023599078,0.02172906034059494,40,8.205472064175329e-05,-0.021647005619953186
