source_run,partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,0.0,0.11764705882352941,1.0588235294117647,0.058823529411764705,0.03349454809425883,0.036136388278371206,-0.0458984375,-0.02521228790283203,endpoint,1.0,0.0,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,1,"(0, 0, 0, 1)",1.1176470588235294,1.2222222222222223,0.11764705882352941,0.2222222222222222,1.1699346405228759,0.16993464052287582,0.012589727668599894,0.023766090481658262,-0.06396484375,-0.06487083435058594,endpoint,1.2222222222222223,0.2222222222222222,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,2,"(0, 0, 1, 0)",1.2222222222222223,1.3157894736842106,0.2222222222222222,0.3157894736842105,1.2690058479532165,0.26900584795321636,0.014400680726558568,0.015384999576304587,-0.0810546875,-0.08933162689208984,endpoint,1.3157894736842106,0.3157894736842105,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,3,"(0, 0, 1, 1)",1.3157894736842106,1.4,0.3157894736842105,0.4,1.3578947368421053,0.35789473684210527,0.023417207552726586,0.009816772245751722,-0.08203125,-0.10419559478759766,endpoint,1.4,0.4,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,4,"(0, 1, 0, 0)",1.4,1.4761904761904763,0.4,0.47619047619047616,1.438095238095238,0.4380952380952381,0.02235626887476036,0.005720683761833829,-0.090087890625,-0.11278057098388672,endpoint,1.4761904761904763,0.47619047619047616,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,5,"(0, 1, 0, 1)",1.4761904761904763,1.5454545454545454,0.47619047619047616,0.5454545454545454,1.5108225108225108,0.5108225108225108,0.03317104309645011,0.003040552028786369,-0.0810546875,-0.11714935302734375,endpoint,1.5454545454545454,0.5454545454545454,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,6,"(0, 1, 1, 0)",1.5454545454545454,1.608695652173913,0.5454545454545454,0.6086956521739131,1.5770750988142292,0.5770750988142292,0.033247401478301714,0.0009324417758064896,-0.08203125,-0.11868762969970703,endpoint,1.608695652173913,0.6086956521739131,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,7,"(0, 1, 1, 1)",1.608695652173913,1.6666666666666667,0.6086956521739131,0.6666666666666666,1.6376811594202898,0.6376811594202898,0.017003608933361263,0.0009124872144259538,-0.10009765625,-0.11812686920166016,endpoint,1.608695652173913,0.6086956521739131,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,8,"(1, 0, 0, 0)",1.6666666666666667,1.72,0.6666666666666666,0.72,1.6933333333333334,0.6933333333333334,0.009556111010566226,0.0021614057621160794,-0.107177734375,-0.11623382568359375,endpoint,1.6666666666666667,0.6666666666666666,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,9,"(1, 0, 0, 1)",1.72,1.7692307692307692,0.72,0.7692307692307693,1.7446153846153847,0.7446153846153846,0.006475269970031844,0.003014260298831039,-0.108154296875,-0.11337757110595703,endpoint,1.72,0.72,2
