case_id,kind,scramble_mode,depth,n_cells,corr_inf,corr_l2,nrmse_inf,nrmse_l2,residual_norm_inf,residual_norm_2,rho_peak,mean_width_eps,worst_abs,time
thuemorse_x,thuemorse_x,,5,32,0.8712512722191578,0.8694895728794011,0.45501834274328934,0.4939512958318835,0.0529932975769043,0.15286834566557458,-0.012948172446979713,0.031259704334524206,0.00713250994561088,0.19634795188903809
thuemorse_x,thuemorse_x,,6,64,0.8741591425656435,0.870551049739249,0.44465575066443064,0.4920781135123685,0.0558466911315918,0.2214417686179449,1.0099745102440408e-18,0.01562632012363554,0.003660508033405001,0.3932154178619385
thuemorse_x,thuemorse_x,,7,128,0.8741616393609974,0.8706414977214718,0.43887885324544534,0.49191806476822214,0.057096004486083984,0.31829211777093386,0.00027015751848207816,0.007812666609283574,0.0018544764304483374,0.7838249206542969
thuemorse_x,thuemorse_x,,8,256,0.8747491624450989,0.8706560540944418,0.43628241515180566,0.4918923006804397,0.05782747268676758,0.45289971821728275,0.0002029301114030577,0.0039062708407197185,0.0009331824473147246,1.6241729259490967
bitrev_geometric_x,bitrev_geometric_x,,5,32,0.8772658516049385,0.8760489940636603,0.44823123907565016,0.4822221065028532,0.05510425567626953,0.15514421654635102,-0.0467419718292412,0.031220906288951838,0.005149215106020531,0.20922088623046875
bitrev_geometric_x,bitrev_geometric_x,,6,64,0.8765642953765729,0.8744202934643319,0.44144784467521736,0.4851691976803053,0.056826114654541016,0.2235692602842557,-0.028892942330089988,0.015616671431801128,0.002919086500567724,0.4057779312133789
bitrev_geometric_x,bitrev_geometric_x,,7,128,0.8759812221281045,0.8730886985050649,0.43762150340564865,0.48756140592004527,0.05767059326171875,0.3193572937327565,-0.017110209772214696,0.007810253303191173,0.0015601148794186226,0.85626220703125
bitrev_geometric_x,bitrev_geometric_x,,8,256,0.875572406129707,0.8721479808920537,0.4355971934450031,0.48924216848705204,0.05808877944946289,0.45399034750756856,-0.009911627726481138,0.0039056637599750926,0.0008368330650522227,1.7115190029144287
stern_brocot_x,stern_brocot_x,,5,32,0.8039627858189959,0.8243041167427838,0.45625006023640075,0.5661472627513968,0.040932655334472656,0.1212693475971351,-0.5194486336413343,0.025454093455638684,0.024363691436403073,0.1940929889678955
stern_brocot_x,stern_brocot_x,,6,64,0.7884889059412953,0.8127884122527209,0.4376780004495152,0.5825590072324873,0.04305076599121094,0.17570815741092252,-0.4119562195906221,0.012620714057454237,0.021526138571574413,0.38837718963623047
stern_brocot_x,stern_brocot_x,,7,128,0.7783357383795226,0.8038036299354782,0.4249719339616764,0.594894717158044,0.044712066650390625,0.2553433151391431,-0.32332751451506825,0.006283892777755201,0.01926670993114754,0.7987852096557617
stern_brocot_x,stern_brocot_x,,8,256,0.7728377014896723,0.7980646201529858,0.41592322747601174,0.6025718729413706,0.046051025390625,0.3707026402615433,-0.2521826627719519,0.0031351886312792317,0.017429470778800055,1.5747439861297607
reverse_geometric_x,reverse_geometric_x,,5,32,0.8829580220893822,0.8679674723450844,0.4273331456536397,0.4966210496453863,0.0543212890625,0.16490242237749464,0.4674873843987228,0.03224752175456561,0.007325075512316537,0.2108149528503418
reverse_geometric_x,reverse_geometric_x,,6,64,0.8864845456545083,0.8685674661690643,0.4140880806778574,0.49557094014142045,0.05681419372558594,0.24128844085719972,0.46735954725255624,0.016122931303472397,0.003782110493517553,0.4052550792694092
reverse_geometric_x,reverse_geometric_x,,7,128,0.8882370933277808,0.8687184679213193,0.4073521054336021,0.495306191655662,0.05811262130737305,0.34742027706043216,0.4671960320508132,0.008061361615561754,0.0019219819243767589,0.8430588245391846
reverse_geometric_x,reverse_geometric_x,,8,256,0.8891178265769661,0.8687555698455669,0.40394006765726875,0.4952411128554496,0.058775901794433594,0.49587929425363914,0.4671551797165206,0.004030667792635228,0.0009689315899682471,1.7120931148529053
random_x,random_x,,5,32,0.8974366011323577,0.8962515776424661,0.4454157865799292,0.44354606251593615,0.05275392532348633,0.14630215769868377,0.24867757340327587,0.03434300730932662,0.008878552971619408,0.20914936065673828
random_x,random_x,,6,64,0.8848347097634782,0.8871655643297982,0.44422122552014515,0.46145125578699,0.05647468566894531,0.21139862753223582,0.04776221929982779,0.015808424356869126,0.006985240067486506,0.42102980613708496
random_x,random_x,,7,128,0.8798266172708404,0.8796321097585795,0.44490182214774654,0.47565465569220594,0.05849599838256836,0.31442523159753943,0.03995702906972497,0.007950356805669533,0.0052322467138825185,0.83219313621521
random_x,random_x,,8,256,0.8642373791736014,0.8597591772219237,0.4541984915754544,0.5106996741556425,0.057942867279052734,0.4372029211451873,0.02079791999536986,0.003951195342903932,0.0025234277947320805,1.6720669269561768
dyadic_x,dyadic_x,,5,32,0.8515790573091754,0.8577559313177165,0.5015665809976603,0.5140571585818806,0.05217313766479492,0.14184144077102656,-0.16732839457281676,0.031258888390630464,0.0038860250761635993,0.21190881729125977
dyadic_x,dyadic_x,,6,64,0.8501469884397589,0.8576316924549802,0.49879413060057887,0.5142644067955763,0.05385589599609375,0.20298971522261425,-0.17263347733226436,0.015622017535506284,0.0019722060262708594,0.4066019058227539
dyadic_x,dyadic_x,,7,128,0.8494679608233412,0.8576035642635146,0.4971746627458567,0.5143113128859944,0.054698944091796875,0.28876160154003605,-0.16932125677035118,0.00781283939241856,0.0010211481247636295,0.767570972442627
dyadic_x,dyadic_x,,8,256,0.8491261305929231,0.8576157641571602,0.4962653960007629,0.5142909692665529,0.055126190185546875,0.4096466627656657,-0.16945070475316745,0.00390619179888874,0.0005158730869647722,1.5774283409118652
powerlaw_x,powerlaw_x,,5,32,0.7305723139139609,0.7785593455796812,0.7154596896399332,0.6275709883435803,0.041942596435546875,0.11080855173969334,-0.0034907691688561933,0.0327683414299829,0.005939778496397319,0.218919038772583
powerlaw_x,powerlaw_x,,6,64,0.7285165387531041,0.7775503624076018,0.7125018249396404,0.6288206691257907,0.04329252243041992,0.15808675943947115,-0.004286760689522605,0.016377177353302172,0.0032232500441339296,0.4082679748535156
powerlaw_x,powerlaw_x,,7,128,0.7284360220019904,0.7772967821323995,0.7090730680802394,0.6291340973803732,0.043964385986328125,0.2247627694719368,-0.004518951714907824,0.008187710737576919,0.0016795861908245335,0.819368839263916
powerlaw_x,powerlaw_x,,8,256,0.7285661086044564,0.7772331712455002,0.7069972060428712,0.6292126806697903,0.044298648834228516,0.3187896227278188,-0.004575307621682465,0.004093745508056646,0.0008577524336692566,1.6551148891448975
