source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
partition_2026-03-18,harmonic_x,1/2,5,4,True,0.04801885319811061,0.010909944441184354,0.007685177394208464,0.037108908756926254,0.00322476704697589,7,"(0, 1, 1, 1)",1.28,1.3333333333333333,6.290993928909302
partition_2026-03-18,mirror_harmonic_x,1/2,5,4,True,0.04801885319811061,0.018967941638976,0.018302927470747927,0.029050911559134612,0.0006650141682280723,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,6.345779180526733
partition_2026-03-18,uniform_x,1/2,5,6,False,0.04801885319811061,0.034749341489033185,0.0027633102183522973,0.013269511709077426,0.031986031270680886,40,"(1, 0, 1, 0, 0, 0)",1.625,1.640625,25.096669912338257
partition_2026-03-18,geometric_x,1/2,5,6,False,0.04801885319811061,0.03798870112680691,0.0019372364815933578,0.0100301520713037,0.036051464645213555,2,"(0, 0, 0, 0, 1, 0)",1.0218971486541166,1.0330248790212284,25.722970962524414
partition_2026-03-18,harmonic_x,1/2,5,6,False,0.04801885319811061,0.03890086812369077,0.002225137210319355,0.00911798507441984,0.03667573091337142,39,"(1, 0, 0, 1, 1, 1)",1.4382022471910112,1.4545454545454546,25.73497223854065
partition_2026-03-18,mirror_harmonic_x,1/2,5,6,False,0.04801885319811061,0.02755863343646477,0.005339397922687269,0.020460219761645842,0.0222192355137775,0,"(0, 0, 0, 0, 0, 0)",1.0,1.0307692307692307,25.04123592376709
partition_2026-03-18,uniform_x,1/2,5,6,True,0.04801885319811061,0.012127460663798337,0.0027633102183522973,0.035891392534312276,0.00936415044544604,15,"(0, 0, 1, 1, 1, 1)",1.234375,1.25,24.43185591697693
partition_2026-03-18,geometric_x,1/2,5,6,True,0.04801885319811061,0.010126845419484928,0.0019372364815933578,0.03789200777862568,0.008189608937891571,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,23.417728900909424
partition_2026-03-18,harmonic_x,1/2,5,6,True,0.04801885319811061,0.011028539342721267,0.002225137210319355,0.036990313855389347,0.00880340213240191,8,"(0, 0, 1, 0, 0, 0)",1.0666666666666667,1.0756302521008403,23.53707003593445
partition_2026-03-18,mirror_harmonic_x,1/2,5,6,True,0.04801885319811061,0.019015751624031536,0.005339397922687269,0.029003101574079076,0.013676353701344266,47,"(1, 0, 1, 1, 1, 1)",1.8468468468468469,1.8571428571428572,24.11980390548706
