source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,worst_cell_x_mid,worst_cell_plog_mid,n_cells,n_params,param_to_cell_ratio,gap_over_free,gap_over_opt,time
wall_surface_2026-03-18,mirror_harmonic_x,1/2,3,5,False,0.04801885319811061,0.03349454809425883,0.010130868899735112,0.014524305103851783,0.023363679194523715,0,"(0, 0, 0, 0, 0)",1.0,1.0606060606060606,1.03030303030303,0.04306872189188593,32,7,0.21875,2.306187102582543,0.6975367790834113,12.492653131484985
wall_surface_2026-03-18,uniform_x,1/2,3,5,True,0.04801885319811061,0.02451987340452581,0.005419629112361607,0.023498979793584802,0.019100244292164205,31,"(1, 1, 1, 1, 1)",1.96875,2.0,1.98437500000000,0.9886846867721658,32,31,0.96875,3.524271476178794,0.7789699390796502,12.489906787872314
wall_surface_2026-03-18,geometric_x,1/2,3,5,True,0.04801885319811061,0.021864397758092666,0.003842389163193495,0.026154455440017946,0.01802200859489917,18,"(1, 0, 0, 1, 0)",1.4768261459394993,1.5091644275934228,1.49299528676646,0.5782096110388399,32,31,0.96875,4.690313195637029,0.8242627487065673,12.436616897583008
wall_surface_2026-03-18,harmonic_x,1/2,3,5,True,0.04801885319811061,0.01922014925816906,0.004239617174228956,0.02879870393994155,0.014980532083940106,24,"(1, 1, 0, 0, 0)",1.6,1.641025641025641,1.62051282051282,0.6964504344274922,32,31,0.96875,3.5334633926386436,0.7794180931021122,12.52565312385559
wall_surface_2026-03-18,mirror_harmonic_x,1/2,3,5,True,0.04801885319811061,0.028276838823239548,0.010130868899735112,0.019742014374871063,0.018145969923504437,0,"(0, 0, 0, 0, 0)",1.0,1.0606060606060606,1.03030303030303,0.04306872189188593,32,31,0.96875,1.791156326579144,0.6417255492007482,12.668895959854126
wall_surface_2026-03-18,uniform_x,1/2,3,6,False,0.04801885319811061,0.03877637238662877,0.0027633102183522973,0.009242480811481844,0.03601306216827647,63,"(1, 1, 1, 1, 1, 1)",1.984375,2.0,1.99218750000000,0.9943534368588579,64,7,0.109375,13.032580247088683,0.9287372683860141,26.175451040267944
wall_surface_2026-03-18,geometric_x,1/2,3,6,False,0.04801885319811061,0.04169864852105633,0.0019372364815933578,0.006320204677054284,0.03976141203946297,3,"(0, 0, 0, 0, 1, 1)",1.0330248790212284,1.0442737824274138,1.03864933072432,0.0547086530698513,64,7,0.109375,20.524810686385383,0.9535419839658563,26.60662579536438
wall_surface_2026-03-18,harmonic_x,1/2,3,6,False,0.04801885319811061,0.043722628601888566,0.002225137210319355,0.004296224596222045,0.04149749139156921,44,"(1, 0, 1, 1, 0, 0)",1.5238095238095237,1.5421686746987953,1.53298909925416,0.6163474383483671,64,7,0.109375,18.64940786533044,0.9491078811710959,28.61483383178711
wall_surface_2026-03-18,mirror_harmonic_x,1/2,3,6,False,0.04801885319811061,0.03840128344402388,0.005339397922687269,0.00961756975408673,0.03306188552133661,32,"(1, 0, 0, 0, 0, 0)",1.6666666666666667,1.6804123711340206,1.67353951890034,0.7429026191740583,64,7,0.109375,6.192062475968616,0.8609578263062403,26.051074028015137
wall_surface_2026-03-18,uniform_x,1/2,3,6,True,0.04801885319811061,0.02451987340452581,0.0027633102183522973,0.023498979793584802,0.021756563186173514,63,"(1, 1, 1, 1, 1, 1)",1.984375,2.0,1.99218750000000,0.9943534368588579,64,37,0.578125,7.873369787322137,0.8873032428527037,26.553030967712402
