source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
exponent_robustness_2026-03-20,uniform_x,1/3,5,5,False,0.03572164364988057,0.019537905148138652,0.0036230070245339713,0.01618373850174192,0.01591489812360468,1,"(0, 0, 0, 0, 1)",1.03125,1.0625,16.498929023742676
exponent_robustness_2026-03-20,geometric_x,1/3,5,5,False,0.03572164364988057,0.02272007650008353,0.0025662778539551506,0.013001567149797041,0.020153798646128377,0,"(0, 0, 0, 0, 0)",1.0,1.0218971486541166,16.83728003501892
exponent_robustness_2026-03-20,harmonic_x,1/3,5,5,False,0.03572164364988057,0.02358316392929925,0.0018736017105628782,0.012138479720581321,0.02170956221873637,20,"(1, 0, 1, 0, 0)",1.4545454545454546,1.4883720930232558,15.935477018356323
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,5,5,False,0.03572164364988057,0.0143484305185748,0.0067900663745339325,0.02137321313130577,0.0075583641440408675,14,"(0, 1, 1, 1, 0)",1.608695652173913,1.6382978723404256,15.550270318984985
exponent_robustness_2026-03-20,uniform_x,1/3,5,5,True,0.03572164364988057,0.00744054441293676,0.0036230070245339713,0.02828109923694381,0.0038175373884027884,3,"(0, 0, 0, 1, 1)",1.09375,1.125,16.063714027404785
exponent_robustness_2026-03-20,geometric_x,1/3,5,5,True,0.03572164364988057,0.0058233748382674685,0.0025662778539551506,0.029898268811613102,0.003257096984312318,0,"(0, 0, 0, 0, 0)",1.0,1.0218971486541166,15.673057079315186
exponent_robustness_2026-03-20,harmonic_x,1/3,5,5,True,0.03572164364988057,0.005959109130102493,0.0018736017105628782,0.02976253451977808,0.004085507419539614,25,"(1, 1, 0, 0, 1)",1.641025641025641,1.6842105263157894,15.43189787864685
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,5,5,True,0.03572164364988057,0.011847902309458449,0.0067900663745339325,0.02387374134042212,0.005057835934924516,0,"(0, 0, 0, 0, 0)",1.0,1.0606060606060606,16.30918598175049
exponent_robustness_2026-03-20,uniform_x,1/3,5,6,False,0.03572164364988057,0.026664241725289004,0.0018448330463037167,0.009057401924591566,0.024819408678985286,40,"(1, 0, 1, 0, 0, 0)",1.625,1.640625,33.96619510650635
exponent_robustness_2026-03-20,geometric_x,1/3,5,6,False,0.03572164364988057,0.02807860382661579,0.0012927710957101074,0.00764303982326478,0.026785832730905682,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,32.03671598434448
