kind,depth,cell_index,half,m_mid,width_x,width_log,c_star,g,eps_mid,eps_prime_mid,eps_pp_mid,mean_cell_eps,cell_moment1,cell_moment2,eps_a,eps_b,contains_mstar,dist_to_mstar
midpoint_dense_x,8,175,R,0.6959304619577082,0.004192672299006661,0.002472197138053689,-0.11626434326171875,-0.013916969299316406,0.06614655449677131,-0.14931946017198194,-0.5016010732220881,0.0661461871051576,-2.18520369411128e-7,9.68008485612755e-8,0.0664584751954763,0.0658324294476396,0,0.25323542106874486
midpoint_dense_x,8,176,R,0.7001252458086245,0.004196895402826195,0.0024685813850826577,-0.11606311798095703,-0.013715744018554688,0.06551578576093375,-0.1514183767074292,-0.4991288879361138,0.0655154194431896,-2.22038645007721e-7,9.60710009193407e-8,0.0658324294476396,0.0651969441671030,0,0.25743020491966107
midpoint_dense_x,8,177,R,0.7043242873307658,0.004201187641456272,0.0024650178372724874,-0.11585426330566406,-0.013506889343261719,0.06487558063418308,-0.15350907593504637,-0.49667245274705835,0.0648752153733104,-2.25565108133799e-7,9.53268969121060e-8,0.0651969441671030,0.0645520255351825,0,0.2616292464418024
midpoint_dense_x,8,178,R,0.7085276543747143,0.004205546446440778,0.0024615045352788245,-0.11563777923583984,-0.0132904052734375,0.0642259451667545,-0.15559163634552942,-0.49423160432454727,0.0642255809463172,-2.29099865556870e-7,9.45682559189808e-8,0.0645520255351825,0.0638976794749141,0,0.26583261348575093
midpoint_dense_x,8,179,R,0.7127354120944935,0.004209968993117874,0.002458039393062994,-0.11541461944580078,-0.013067245483398438,0.06356688518721554,-0.15766613412593566,-0.49180618321190633,0.0635665219914106,-2.32642976261313e-7,9.37947867661732e-8,0.0638976794749141,0.0632339117244779,0,0.27004037120553015
midpoint_dense_x,8,180,R,0.7169476226795366,0.004214452176968253,0.0024546201860562444,-0.11518478393554688,-0.012837409973144531,0.06289840637916877,-0.15973264307420387,-0.4893960338839234,0.0628980441932359,-2.36194446700290e-7,9.30061874911484e-8,0.0632339117244779,0.0625607279171990,0,0.2742525817905732
midpoint_dense_x,8,181,R,0.7211643450618868,0.00421899258773184,0.0024512445382429693,-0.11494731903076172,-0.012599945068359375,0.06222051436486575,-0.1617912345046345,-0.48700100481411407,0.0622201531743440,-2.39754225554546e-7,9.22021451112230e-8,0.0625607279171990,0.0618781336687965,0,0.27846930417292337
midpoint_dense_x,8,182,R,0.7253856345962872,0.00422358648106913,0.002447909908051993,-0.11470222473144531,-0.012354850769042969,0.061533214796436364,-0.16384197714354387,-0.48462094855223703,0.0615328545879377,-2.43322197947921e-7,9.13823353988614e-8,0.0618781336687965,0.0611861346726170,0,0.28269059370732386
midpoint_dense_x,8,183,R,0.7296115427105796,0.004228229747515577,0.002444613572938681,-0.11445045471191406,-0.012103080749511719,0.06083651345551,-0.16588493701422224,-0.482255721812879,0.0608361542165073,-2.46898179062063e-7,9.05464226664690e-8,0.0611861346726170,0.0604847368036697,0,0.2869165018216162
midpoint_dense_x,8,184,R,0.7338421165235602,0.004232917878445708,0.0024413526125165452,-0.11419200897216797,-0.011844635009765625,0.06013041636208738,-0.16792017731023923,-0.47990518557602124,0.0601300580807730,-2.50481907087191e-7,8.96940595638508e-8,0.0604847368036697,0.0597739462323631,0,0.29114707563459685
